分区,地点,模式,厨师,数值,结果
菜园,鸡舍,三区推荐,忌璃、冰果、狡聂、簪娘,69,鸡蛋 384~424、鸡胸肉 230~255、鸭子 368~408、鸡杂 183~204、鸡腿 293~324、童子鸡 233~259
玉片,清空谷,三区推荐,青天判官、朗十一、旋龟、李清凝,118,档位105
调料,膳祖阁,三区推荐,唐小豆、大天狗、布田、花艳红,1372,1372/1080
菜园,森林,对照最强,忌璃、冰果、簪娘、东华,37,白菜 568~627、香菇 444~493、胡萝卜 593~657、洋葱 474~526、笋 379~418、茶叶 246~272
菜园,菜地,对照最强,忌璃、冰果、白稻荷、阿柱,31,葱 628~694、辣椒 744~824、土豆 654~725、茄子 429~472、水果 416~461、南瓜 247~273
菜园,池塘,对照最强,忌璃、冰果、簪娘、狡聂,29,贝壳 345~382、虾 276~306、冻鱼 183~204、鲜鱼 221~243、螃蟹 117~130、鱼翅 91~102
菜园,作坊,对照最强,忌璃、冰果、狡聂、白稻荷,30,面粉 918~1017、大米 651~720、豆腐 612~678、糯米 612~678、酒 502~554、咖喱 121~136
菜园,菜棚,对照最强,忌璃、冰果、白稻荷、朗十一,26,青菜 525~579、番茄 644~711、青椒 457~507、黄瓜 610~676、豆子 439~485、白萝卜 390~430
菜园,牧场,对照最强,忌璃、冰果、狡聂、簪娘,69,牛腩 384~424、牛乳 183~204、牛杂 183~204、牛五花 293~324、牛排 233~259
菜园,鸡舍,对照最强,忌璃、冰果、狡聂、簪娘,69,鸡蛋 384~424、鸡胸肉 230~255、鸭子 368~408、鸡杂 183~204、鸡腿 293~324、童子鸡 233~259
菜园,猪圈,对照最强,忌璃、冰果、狡聂、簪娘,69,猪腿肉 384~424、猪油 183~204、猪杂 183~204、里脊肉 293~324、梅花肉 280~310
玉片,藏心亭,对照最强,冰果、冥霜、姒露、玉弥香,132,档位120
玉片,朝阴山,对照最强,伯牙、狡聂、紫燕、玄一,81,档位75
玉片,北冥城,对照最强,何贺鹤、阿根哥哥、后羿、泡泡,105,档位105
玉片,清空谷,对照最强,青天判官、朗十一、簪娘、旋龟,136,档位135
玉片,还寒洞,对照最强,白稻荷、阿根、老君、山新新,86,档位75
玉片,永昼宫,对照最强,东华、游遥、阿柱、丝香,79,档位75
调料,樊正阁,对照最强,狰喵喵、姒露、山新新、黑风大王,993,993/1080
调料,庖丁阁,对照最强,嘉米、凯丽、冰果、醋姬,1106,1106/1080
调料,膳祖阁,对照最强,唐小豆、大天狗、布田、花艳红,1372,1372/1080
调料,易牙阁,对照最强,南喵喵、艾琳、阎无双、皮蛋 八哥 雍正,1078,1078/1080
调料,彭铿阁,对照最强,墨道士、郭福、黑柏、吟枫何,1151,1151/1080
调料,伊尹阁,对照最强,煎饼、丁先森、金乌、花卷,996,996/1080
菜园,森林,不重复就业,忌璃、冰果、簪娘、东华,37,白菜 568~627、香菇 444~493、胡萝卜 593~657、洋葱 474~526、笋 379~418、茶叶 246~272
菜园,菜地,不重复就业,白稻荷、朗十一、木落仙人、阿柱,30,葱 476~526、辣椒 565~625、土豆 497~550、茄子 325~359、水果 316~350、南瓜 187~208
菜园,池塘,不重复就业,青天判官、狡聂、游遥、陇周,30,贝壳 267~295、虾 213~237、冻鱼 142~158、鲜鱼 170~188、螃蟹 90~100、鱼翅 70~79
菜园,作坊,不重复就业,伯牙、莲花仙子、终末、狲圆圆,34,面粉 689~763、大米 488~540、豆腐 459~509、糯米 459~509、酒 377~416、咖喱 91~102
菜园,菜棚,不重复就业,阿根、莱地狗、苏小霜、杨小倩,25,青菜 366~404、番茄 448~496、青椒 319~353、黄瓜 425~471、豆子 306~338、白萝卜 272~300
菜园,牧场,不重复就业,山新新、紫燕、萃香、嘉米,25,牛腩 278~307、牛乳 133~148、牛杂 133~148、牛五花 212~234、牛排 169~188
菜园,鸡舍,不重复就业,诸葛亮、云双、达达、达浪,25,鸡蛋 271~299、鸡胸肉 162~179、鸭子 259~288、鸡杂 129~144、鸡腿 207~228、童子鸡 165~183
菜园,猪圈,不重复就业,圈圈、阿切、山肴、旋龟,18,猪腿肉 271~299、猪油 129~144、猪杂 129~144、里脊肉 207~228、梅花肉 198~218
玉片,藏心亭,不重复就业,冥霜、姒露、玉弥香、火姬,92,档位90
玉片,朝阴山,不重复就业,玄一、麦格蒙、麦田姬、蟹老板,56,档位45
玉片,北冥城,不重复就业,何贺鹤、阿根哥哥、后羿、泡泡,105,档位105
玉片,清空谷,不重复就业,李清凝、贺岁老君、无寄、毛琪丝,64,档位60
玉片,还寒洞,不重复就业,老君、林世恭、上宫晴、郭福,61,档位60
玉片,永昼宫,不重复就业,丝香、玄离、墨道士、阎无双,57,档位45
调料,樊正阁,不重复就业,狰喵喵、黑风大王、气仙人、橙风,835,835/1080
调料,庖丁阁,不重复就业,凯丽、醋姬、朱英台、吕布,804,804/1080
调料,膳祖阁,不重复就业,唐小豆、大天狗、布田、花艳红,1372,1372/1080
调料,易牙阁,不重复就业,南喵喵、艾琳、皮蛋 八哥 雍正、卫青,990,990/1080
调料,彭铿阁,不重复就业,黑柏、吟枫何、涂涂、莫问,751,751/1080
调料,伊尹阁,不重复就业,煎饼、丁先森、金乌、花卷,996,996/1080
